ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,plain_explanation,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,revenue_currency,price_currency,fx_rate_applied,currency_note,revenue_cagr_3y,revenue_cagr_5y,roic,share_count_cagr_3y,buybacks_ttm,dividends_ttm,acquisitions_ttm,price_return_6m,benchmark_symbol,benchmark_return_6m,relative_strength_6m,eps_revisions_up_30d,eps_revisions_down_30d,owner_earnings_ttm,owner_earnings_yield,maintenance_capex_ttm,owner_earnings_method,price_cagr_3y,market_cap_cagr_3y,multiple_expansion_gap_3y,anti_bubble_flag,anti_bubble_note,section,section_target_pct,layer,portfolio_weight,thesis
GEV,2026-08-15T10:40:27.912342+00:00,41367000000.0,283179188224.0,6.845533594991177,4.522916363829067,6.075002314556569,6.729929397003122,52519021660.0,0.2695873923658956,5.3919357077376295,62609866167.02827,0.5135220385096397,0.24393464614374416,1.7362939708571976,47.502274070203335,Forward Expectations Elevated,"Needs 51% growth to look fairly valued; analysts expect 27% -- covers part of what's required, but the price still leans on the forecast coming through.",4.522916363829067,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,USD,USD,1.0,,0.08682326316822997,,0.39663049685893775,-0.005571909894025007,,,,0.29944033239462375,^GSPC,0.13773333623500394,0.1617069961596198,7.0,10.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
CEG,2026-08-15T10:40:27.912342+00:00,31270000000.0,100091838464.0,3.2008902610809082,4.504323812958949,5.012886987503559,5.015431351017794,35120468670.0,0.12313619027822198,2.8499573682938553,22221279512.817345,-0.289373856321799,-0.412510046600021,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 12% forecast growth would be upside on top of an already-fair price.,4.504323812958949,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,USD,USD,1.0,,0.01469039149633189,,0.13986001715566546,-0.015225459740157432,,,,-0.064987724691279,^GSPC,0.13773333623500394,-0.20272106092628295,7.0,6.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
PWR,2026-08-15T10:40:27.912342+00:00,32905140000.0,103102496768.0,3.1333249689258276,2.2082187869595136,2.797839488117654,2.9512384869623505,45128023130.0,0.37145817127658476,2.2846668127029033,46690344895.56235,0.41893773725206307,0.04747956597547831,1.1077452703837447,11.333322771758613,Forward Expectations Manageable,Needs 42% growth to look fairly valued by its own history; analysts expect 37% -- the bar is comfortably cleared if the forecast is anywhere close to right.,2.2082187869595136,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,USD,USD,1.0,,0.18595310976676038,,0.07977545401813067,0.015267338756738136,,,,0.306380262970793,^GSPC,0.13773333623500394,0.16864692673578907,1.0,3.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
PRY.MI,2026-08-15T10:40:27.912342+00:00,21088000000.0,37392703488.0,1.7731744825493172,1.3622174044272413,1.5309831666235851,1.8288783567450322,24526203980.0,0.16304078053869508,1.5246021568805366,27449879414.602074,0.3016824456848479,0.13864166514615284,1.7456383503871917,45.95615924268416,Forward Expectations Elevated,"Needs 30% growth to look fairly valued; analysts expect 16% -- covers part of what's required, but the price still leans on the forecast coming through.",1.3622174044272413,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,EUR,EUR,1.0,,0.06940592757821373,,0.1190302590461036,0.028618564136781544,,,,0.2996940530920724,^FTSEMIB,,,10.0,3.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
5803.T,2026-08-15T10:40:27.912342+00:00,1182358000000.0,9379543777280.0,7.932913531502303,1.0862546758443512,2.914358783977637,5.811224020393056,1751610081840.0,0.48145492468440176,5.354812623267813,8634755721524.728,6.302995980510748,5.821541055826346,5.058931064453057,92.36149085017522,Forward Expectations Stretched,"Needs 630% growth to look fairly valued by its own history, but analysts only expect 48% -- the price is asking for more growth than is currently forecast.",1.0862546758443512,Historical Median Tactical Anchor,low,4,annual,0.28103417069956815,0.1596022524480741,0.13292336162143784,-0.3413124102300255,91.20686321894635,93850000000.0,0.07937528227491165,0.5971507288611188,Solid,JPY,JPY,1.0,,0.13603046350872217,,0.310863789089215,0.00017013513759800425,,44639000000.0,2353000000.0,0.5924773934800351,^N225,0.20961343422331913,0.382863959256716,2.0,0.0,157163000000.0,0.01675593224274882,26553000000.0,Net income + D&A - maintenance capex,2.1017596699241174,2.102287388232356,1.966256924723634,High multiple expansion risk,Market cap growth is far ahead of revenue growth while P/S is near historical highs -- multiple expansion is doing most of the work.,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
VRT,2026-08-15T10:40:27.912342+00:00,11479600000.0,113124917248.0,9.85443022823095,6.127012015543576,9.275009518243913,9.757278720799798,18141217630.0,0.5803005008885327,6.235795168507661,18463309189.049107,0.6083582345246443,0.028057733636111637,1.0384578924915198,4.612041399922074,Forward Expectations Manageable,Needs 61% growth to look fairly valued by its own history; analysts expect 58% -- the bar is comfortably cleared if the forecast is anywhere close to right.,6.127012015543576,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,USD,USD,1.0,,0.2158543401649824,,0.26666323616444226,0.004559002986515459,,,,0.20712473903590367,^GSPC,0.13773333623500394,0.06939140280089973,20.0,3.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
AGX,2026-08-15T10:40:27.912342+00:00,1041900000.0,8106208768.0,7.78021764852673,4.990933591124564,5.126294201947516,7.8585157658796945,1607180230.0,0.5425474901622036,5.043745945033184,1624186862.0362666,0.5588702006298749,0.01632271046767131,1.0242852053699592,2.92066215899055,Forward Expectations Manageable,Needs 56% growth to look fairly valued by its own history; analysts expect 54% -- the bar is comfortably cleared if the forecast is anywhere close to right.,4.990933591124564,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,USD,USD,1.0,,0.2756563885918484,,0.9227796863195247,0.012469407682418998,,,,0.42342853201940245,^GSPC,0.13773333623500394,0.2856951957843985,3.0,1.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
LIN,2026-08-15T10:40:27.912342+00:00,35449000000.0,222533550080.0,6.277569186154757,6.36612851674344,6.664501301804736,6.930917218879119,38005847420.0,0.07212749076137559,5.855245052709839,34955868310.65671,-0.013911018345885373,-0.08603850910726096,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 7% forecast growth would be upside on top of an already-fair price.,6.36612851674344,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,USD,USD,1.0,,0.006176060609136114,,0.1172938981761858,-0.019870503295648434,,,,0.007617121362566648,^GSPC,0.13773333623500394,-0.1301162148724373,7.0,4.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
NVT,2026-08-15T10:40:27.912342+00:00,4834000000.0,27740831744.0,5.73869088622259,4.1770985232402955,4.401373740995136,4.813190781485023,6368575070.0,0.3174545035167564,4.355893027731869,6641172476.458764,0.37384618875853626,0.05639168524177984,1.15202231326467,15.084194232137193,Forward Expectations Manageable,Needs 37% growth to look fairly valued by its own history; analysts expect 32% -- the bar is comfortably cleared if the forecast is anywhere close to right.,4.1770985232402955,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,USD,USD,1.0,,0.1926087246007977,,0.09262949086843608,-0.007348762570890122,,,,0.49166637671451374,^GSPC,0.13773333623500394,0.3539330404795098,6.0,1.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
PH,2026-08-15T10:40:27.912342+00:00,20987074000.0,133128314880.0,6.3433480474696,4.691731861440702,5.443150382887499,5.516567916638742,24412807470.0,0.16323063758197076,5.4532161056689805,28375090225.024063,0.3520269774159115,0.18879633983394073,1.994726218814514,53.63121349955016,Forward Expectations Elevated,"Needs 35% growth to look fairly valued; analysts expect 16% -- covers part of what's required, but the price still leans on the forecast coming through.",4.691731861440702,Historical Median Tactical Anchor,low,5,quarterly,,,,,,,,,Insufficient data,USD,USD,1.0,,0.07763353923653371,,0.15518134350566784,-0.004706238839390586,,,,0.04783154446106597,^GSPC,0.13773333623500394,-0.08990179177393798,3.0,5.0,,,,,,,,Insufficient data,,INFRA,0.14,"Layer 2: Electrification, Grid & AI-Power Build",0.004,"The full electrification stack: grid OEMs, generation equipment, clean nuclear baseload, build-out EPC, HV/optical cabling for AI factories, data-center power/cooling, motion control and gases."
